,Large Growth,Large Value,Small Growth,Small Value,MLPs,REITs,Foreign Growth,Foreign Value,Emerging Markets,High Yield,ST Inv Grade,Int Inv Grade,LT Inv Grade,TIPS,ST Treasury,Int Treasury,LT Treasury
,VIGRX,VIVAX,VISGX,VISVX,AMLP,VGISX,VWIGX,VTRIX,VEIEX,VWEHX,VFSTX,VFICX,VWESX,VIPSX,VFISX,VFITX,VUSTX
,Vanguard Index Trust Growth Index Fund,Vanguard Index Trust Value Index Fund,Vanguard Index Trust Small-Cap Growth Index Fund,Vanguard Index Trust Small-Cap Value Index Fund,Alerian MLP ETF,Virtus Duff & Phelps Global Real Estate Securities Fund I,Vanguard International Growth Fund,Vanguard International Value Fund,Vanguard Emerging Markets Stock Index Fund,Vanguard High Yield Corporate Fund,Vanguard Short-Term Investment Grade Fund Investor Shrs,Vanguard Intermediate-Term Investment Grade Fund Investor Shrs,Vanguard Long-Term Investment Grade Fund Investor Shrs,Vanguard Inflation Protected Securities Fund,Vanguard Short-Term Treasury Fund,Vanguard Intermediate-Term Treasury Fund,Vanguard Long-Term Treasury Fund
6/08/90,,,,,,,-0.7281482,-0.5564153,,0.13889074,0,,0,,,,0
6/11/90,,,,,,,-0.40749907,-0.40409565,,0.13868809,0,,-0.12438297,,,,-0.10537505
6/12/90,,,,,,,0.40916204,0.31210184,,0,0,,0,,,,0
6/13/90,,,,,,,0.4889965,0.43559074,,0.27700663,0.19341707,,0.7472038,,,,0.6329179
6/14/90,,,,,,,-0.40551424,0.030982494,,0.1381278,0.09652376,,0,,,,0.31446218
6/15/90,,,,,,,0,0.18581152,,0,-0.19285679,,-0.4944384,,,,-0.7314503
6/18/90,,,,,,,0,0,,0,-0.09661913,,-0.24845004,,,,-0.42105317
6/19/90,,,,,,,-0.081425905,0.15456676,,-0.13793707,-0.0967145,,-0.24905801,,,,-0.10570884
6/20/90,,,,,,,0.16299486,0.15431643,,0,0,,-0.24969578,,,,-0.5291045
6/21/90,,,,,,,0,0,,0,0.096809864,,0,,,,0.31915903
6/22/90,,,,,,,0.48820972,0.18489361,,0,0,,0.12515783,,,,0.10603666
6/25/90,,,,,,,-0.4858315,-0.5844295,,0,-0.0967145,,-0.24999976,,,,-0.7415235
6/26/90,,,,,,,1.2205005,0.83539486,,-0.41435957,0,,0,,,,0.3201723
6/27/90,,,,,,,0.72346926,-0.67505836,,0,0.096809864,,0,,,,0.31915903
6/28/90,,,,,,,-0.07980466,0.8958936,,0.13868809,0.0967145,,0.37593842,,,,0.42418242
6/29/90,,,,,,,0.23961067,0.49443245,,-0.13850331,0.09660721,,0.37453175,,,,0.42238235
7/02/90,,,,,,,0.7968068,0.61501265,,0,0,,0,,,,0
7/03/90,,,,,,,0.47430992,0.4889965,,0.13868809,0.09652376,,0.12438297,,,,0.105154514
7/05/90,,,,,,,0.39339066,-0.09124875,,-0.13850331,-0.096434355,,0,,,,-0.21008849
7/06/90,,,,,,,0.15673637,0.060880184,,0,-0.19304752,,-0.8695662,,,,-0.94736814
7/09/90,,,,,,,0.5477309,0.5476117,,0,-0.0967145,,-0.37594438,,,,-0.31880736
7/10/90,,,,,,,0.38909912,0.30257702,,0,0,,-0.12578368,,,,-0.2132237
7/11/90,,,,,,,0,-0.15084147,,0.13868809,0,,0.12594461,,,,0.21368265
7/12/90,,,,,,,0.85271597,0.99698305,,0.13850927,0.19361973,,0.377357,,,,0.42643547
7/13/90,,,,,,,0.30745268,0.059831142,,0.13830662,0.19322634,,0.2506256,,,,0.4246235
7/16/90,,,,,,,0.4597664,0.32885075,,0.2762437,0,,0.12500286,,,,0
7/17/90,,,,,,,0.38138628,0.53635836,,0.13773441,0.096428394,,0.12484789,,,,0
7/18/90,,,,,,,-0.3799379,0,,0.27509928,-0.09633899,,-0.62345266,,,,-0.7399559
7/19/90,,,,,,,-0.15255213,-0.11855364,,0,0,,-0.12546778,,,,-0.10650158
