Date,GSCI Energy,GSCI Ind Metals,GSCI Precious Metals,GSCI Agriculture,GSCI Livestock
19900810,428.8162,582.0756,465.181,778.369,2620.926
19900813,429.077,575.4263,473.5692,769.1438,2631.397
19900814,437.1879,587.1491,475.3502,775.4979,2604.371
19900815,439.1311,591.2975,471.7733,783.0891,2601.832
19900816,452.3685,587.3931,478.9628,785.4018,2611.68
19900817,469.5799,589.8847,479.9181,787.7171,2591.754
19900820,485.6879,587.8816,479.7528,785.7474,2605.336
19900821,499.4433,591.5632,476.5358,783.0357,2600.491
19900822,535.4431,580.5403,480.1646,787.28,2593.842
19900823,557.4006,586.1199,481.5462,799.3848,2561.396
19900824,533.9816,586.4814,484.8759,808.755,2550.834
19900827,486.2716,593.0276,455.7739,798.7242,2584.533
19900828,475.4396,586.2648,452.3852,795.318,2563.318
19900829,441.8157,592.8018,452.4887,781.4441,2559.879
19900830,457.9823,594.1143,453.7582,772.8792,2560.951
19900831,467.8258,593.2885,449.0368,761.3095,2555.121
19900903,467.8258,593.2885,449.0368,761.3095,2555.121
19900904,505.1202,588.7907,450.4948,763.5088,2584.421
19900905,507.2751,581.538,452.5327,774.7099,2597.353
19900906,531.8249,587.3692,455.3823,781.5579,2610.704
19900907,511.7633,620.5721,455.5247,773.1927,2614.282
19900910,526.5927,611.1943,442.0518,776.7606,2643.85
19900911,516.0858,612.5123,443.1847,780.4841,2658.509
19900912,517.8126,613.5925,445.1288,776.6504,2657.922
19900913,521.6161,605.1416,445.9669,762.6649,2645.955
19900914,522.6523,611.4642,447.6059,757.6421,2667.86
19900917,538.0453,609.4606,451.9585,761.8548,2690.081
19900918,543.5082,591.6967,451.0434,761.0045,2692.05
19900919,547.5207,571.5394,448.8308,755.5787,2696.967
19900920,557.9243,562.1123,450.7353,755.8799,2706.121
19900921,582.971,568.4347,450.9213,755.9077,2723.437
19900924,617.5916,564.0114,465.4903,759.5569,2700.048
19900925,619.2776,561.4994,463.0292,762.5136,2679.358
19900926,632.2174,562.0926,466.6932,761.9855,2659.635
19900927,645.1964,572.9623,463.0586,763.1534,2665.09
19900928,644.2503,568.0602,460.1498,757.6289,2688.864
19901001,608.4968,559.7995,444.094,743.2253,2742.942
19901002,559.7007,566.3714,448.9617,750.6804,2744.249
19901003,607.8998,579.1672,452.4593,754.016,2762.991
19901004,601.8759,577.3692,451.3651,755.1128,2753.431
19901005,617.5859,584.4272,453.1805,754.9958,2759.349
19901008,627.2714,578.0737,453.923,770.3112,2731.912
19901009,649.139,565.9724,448.2703,767.1031,2742.978
19901010,622.6046,572.0769,444.0279,763.5058,2716.912
19901011,643.8086,554.9364,441.348,755.4296,2700.467
19901012,639.8648,544.2612,439.9084,748.3848,2729.463
19901015,618.5765,548.1883,424.1446,739.4815,2725.357
19901016,633.5964,543.9803,412.077,736.2811,2698.101
19901017,611.9219,538.0909,417.5142,743.9514,2717.084
19901018,597.1017,547.3194,420.9429,743.7106,2726.827
19901019,564.6703,564.2332,425.4284,744.1487,2736.648
19901022,521.3623,563.6132,423.09,750.8822,2730.526
19901023,501.3019,589.4332,426.1215,750.8578,2752.441
19901024,531.1636,578.9793,428.1205,752.459,2751.067
19901025,568.9161,575.9718,428.8637,747.2209,2756.78
19901026,559.036,576.0881,422.1275,739.8645,2738.745
19901029,578.5792,563.9292,426.031,742.1671,2696.976
19901030,578.7025,556.5837,434.7992,746.0703,2691.297
19901031,586.9913,557.176,434.2012,742.0815,2707.583
19901101,589.4341,546.4566,436.0977,745.1243,2708.455
19901102,570.0041,556.6763,428.8753,747.6053,2722.403
19901105,547.114,547.8566,432.9459,739.3705,2716.894
19901106,555.8606,553.9882,440.33,740.8544,2757.208
19901107,593.126,554.098,438.6154,742.8934,2756.233
19901108,596.3274,548.6363,439.8489,750.0313,2738.036
19901109,573.3119,553.6157,435.652,744.4602,2748.406
19901112,547.1708,552.4257,433.1609,743.7249,2779.267
19901113,556.6122,554.9485,437.7438,743.1741,2800.673
19901114,538.5477,552.3305,429.1588,730.8293,2799.687
19901115,537.5136,557.4,430.3259,723.3406,2797.336
19901116,521.0853,559.7427,431.2321,728.3724,2815.761
19901119,537.3241,556.1033,432.8888,731.4507,2818.04
19901120,513.6454,554.9723,428.9475,717.5983,2783.173
19901121,523.4275,550.3646,430.3214,723.2702,2798.146
19901122,523.4275,550.3646,430.3214,723.2702,2798.146
19901123,554.6832,554.5576,436.5894,726.0261,2806.13
19901126,574.1769,560.6047,438.5597,722.7067,2785.309
19901127,572.3797,540.578,437.0496,722.4845,2782.251
19901128,576.8213,539.6897,437.6219,725.5288,2740.698
19901129,573.9956,534.0757,440.2069,726.3753,2719.334
19901130,528.6937,532.937,434.8277,728.5615,2705.886
19901203,513.9978,534.2473,428.3394,732.0719,2702.838
19901204,534.1151,532.8593,431.0812,730.9509,2681.309
19901205,484.7709,533.7117,426.8988,729.032,2699.996
19901206,471.2439,540.7907,423.946,730.7667,2701.482
19901207,471.4682,528.1938,421.2228,735.1725,2731.049
